"OBJECTID","STNO","STREET_NAM"
203,"00744","65TH ST"
204,"00720","65TH ST"
205,"00690","65TH ST"
206,"00654","65TH ST"
207,"00674","FAIRVIEW ST"
208,"00688","FAIRVIEW ST"
209,"06603","WHITNEY ST"
210,"06539","WHITNEY ST"
211,"06501","WHITNEY ST"
212,"06523","TREMONT ST"
213,"06611","TREMONT ST"
214,"00685","ALCATRAZ AV"
215,"06324","SHATTUCK AV"
216,"06400","SHATTUCK AV"
217,"06430","SHATTUCK AV"
218,"06500","SHATTUCK AV"
219,"06510","SHATTUCK AV"
220,"06550","SHATTUCK AV"
221,"06560","SHATTUCK AV"
222,"06562","SHATTUCK AV"
223,"00539","66TH ST"
224,"00667","66TH ST"
225,"00691","66TH ST"
226,"06610","SHATTUCK AV"
227,"06532","DOVER ST"
228,"06552","DOVER ST"
229,"00783","FAIRVIEW ST"
230,"06620","DOVER ST"
231,"00651","66TH ST"
232,"00683","66TH ST"
233,"00453","66TH ST"
234,"00467","66TH ST"
235,"00499","66TH ST"
236,"00629","66TH ST"
237,"00650","ALCATRAZ AV"
238,"00642","ALCATRAZ AV"
239,"00618","ALCATRAZ AV"
240,"00606","ALCATRAZ AV"
241,"00602","ALCATRAZ AV"
242,"00556","ALCATRAZ AV"
243,"00540","ALCATRAZ AV"
244,"00510","ALCATRAZ AV"
245,"00500","ALCATRAZ AV"
246,"00490","ALCATRAZ AV"
247,"00472","ALCATRAZ AV"
248,"00458","ALCATRAZ AV"
249,"00438","ALCATRAZ AV"
250,"00430","ALCATRAZ AV"
251,"00420","ALCATRAZ AV"
252,"00406","ALCATRAZ AV"
253,"00400","ALCATRAZ AV"
254,"00390","ALCATRAZ AV"
255,"00378","ALCATRAZ AV"
256,"00368","ALCATRAZ AV"
257,"00356","ALCATRAZ AV"
258,"00350","ALCATRAZ AV"
259,"00344","ALCATRAZ AV"
260,"00330","ALCATRAZ AV"
261,"06459","HILLEGASS AV"
262,"06451","HILLEGASS AV"
263,"06435","HILLEGASS AV"
264,"06425","HILLEGASS AV"
265,"06417","HILLEGASS AV"
266,"06411","HILLEGASS AV"
267,"06409","HILLEGASS AV"
268,"06475","COLBY ST"
269,"06447","COLBY ST"
270,"06439","COLBY ST"
271,"06429","COLBY ST"
272,"06423","COLBY ST"
273,"06417","COLBY ST"
274,"06413","COLBY ST"
275,"00394","63RD ST"
276,"00384","63RD ST"
277,"00378","63RD ST"
278,"00366","63RD ST"
279,"00350","63RD ST"
280,"00348","63RD ST"
281,"00338","63RD ST"
282,"04798","GERANIUM PL"
283,"06435","RAYMOND ST"
284,"06501","RAYMOND ST"
285,"06511","RAYMOND ST"
286,"06521","RAYMOND ST"
287,"00404","66TH ST"
288,"06515","WHEELER ST"
289,"00638","FAIRVIEW ST"
290,"06333","TELEGRAPH AV"
291,"06355","TELEGRAPH AV"
292,"06399","TELEGRAPH AV"
293,"06419","TELEGRAPH AV"
294,"06511","TELEGRAPH AV"
295,"06543","TELEGRAPH AV"
296,"06633","TELEGRAPH AV"
297,"00501","66TH ST"
298,"00513","66TH ST"
299,"00529","66TH ST"
300,"00543","66TH ST"
301,"00557","66TH ST"
302,"00569","66TH ST"
303,"00601","66TH ST"
304,"00610","66TH ST"
305,"00499","ALCATRAZ AV"
306,"06498","BENVENUE AV"
307,"06492","BENVENUE AV"
308,"06396","HILLEGASS AV"
309,"06380","HILLEGASS AV"
310,"06300","HILLEGASS AV"
311,"06226","HILLEGASS AV"
312,"06204","HILLEGASS AV"
313,"06334","COLBY ST"
314,"06316","COLBY ST"
315,"06300","COLBY ST"
316,"06290","COLBY ST"
317,"06262","COLBY ST"
318,"04056","FOOTHILL BLVD"
319,"06444","REGENT ST"
320,"06436","REGENT ST"
321,"06424","REGENT ST"
322,"06416","REGENT ST"
323,"06400","REGENT ST"
324,"00405","NORTH ST"
325,"00419","NORTH ST"
326,"00439","NORTH ST"
327,"00471","NORTH ST"
328,"00479","NORTH ST"
329,"00117","VICENTE RD"
330,"00145","VICENTE RD"
331,"00041","VICENTE RD"
332,"00134","VICENTE RD"
333,"01010","GRAND VIEW DR"
334,"01050","GRAND VIEW DR"
335,"01074","GRAND VIEW DR"
336,"00043","PERTH PL"
337,"00510","GRAVATT DR"
338,"00540","GRAVATT DR"
339,"00450","GRAVATT DR"
340,"00440","GRAVATT DR"
341,"00010","STEVENS WY"
342,"00379","GRAVATT DR"
343,"00295","GRAVATT DR"
344,"00267","GRAVATT DR"
345,"00248","GRAVATT DR"
346,"00160","GRAVATT DR"
347,"00111","GRAVATT DR"
348,"00101","GRAVATT DR"
349,"00800","ALVARADO RD"
350,"00080","GRAVATT DR"
351,"00002","GRAVATT DR"
352,"01500","WEST VIEW DR"
353,"00101","VICENTE RD"
354,"00128","VICENTE RD"
355,"01000","GRAND VIEW DR"
356,"01041","GRAND VIEW DR"
357,"00389","GRAVATT DR"
358,"00033","STEVENS WY"
359,"00357","GRAVATT DR"
360,"00245","GRAVATT DR"
361,"00323","GRAVATT DR"
362,"00781","ALVARADO RD"
363,"00016","GRAVATT DR"
364,"00032","GRAVATT DR"
365,"00054","GRAVATT DR"
366,"00757","ALVARADO RD"
367,"00029","SLATER LN"
368,"00057","EVERGREEN LN"
369,"00491","NORTH ST"
370,"00501","NORTH ST"
371,"00529","NORTH ST"
372,"00547","NORTH ST"
373,"00565","NORTH ST"
374,"00571","NORTH ST"
375,"06372","RACINE ST"
376,"06362","RACINE ST"
377,"06330","RACINE ST"
378,"06600","DEAKIN ST"
379,"06620","DEAKIN ST"
380,"06656","DANA ST"
381,"06612","DANA ST"
382,"06642","DANA ST"
383,"06536","DANA ST"
384,"06508","DANA ST"
385,"06339","DANA ST"
386,"06360","DANA ST"
387,"06348","DANA ST"
388,"06304","DANA ST"
389,"00491","65TH ST"
390,"00479","65TH ST"
391,"00465","65TH ST"
392,"00455","65TH ST"
393,"00443","65TH ST"
394,"00431","65TH ST"
395,"00434","66TH ST"
396,"06409","IRWIN ST"
397,"06422","IRWIN ST"
398,"06439","IRWIN ST"
399,"06450","IRWIN ST"
400,"06505","WHEELER ST"
401,"06334","TELEGRAPH AV"
402,"06400","TELEGRAPH AV"
403,"06366","TELEGRAPH AV"
404,"06522","TELEGRAPH AV"
405,"06436","TELEGRAPH AV"
406,"06606","TELEGRAPH AV"
407,"05957","CHABOT CREST"
408,"05927","CHABOT CREST"
409,"05845","PATTON ST"
410,"05833","PATTON ST"
411,"05819","PATTON ST"
412,"05887","CHABOT CT"
413,"06065","ROSS ST"
414,"06021","ROSS ST"
415,"06001","ROSS ST"
416,"06216","HARWOOD AV"
417,"06200","HARWOOD AV"
418,"05915","ROSS ST"
419,"00037","EUCALYPTUS RD"
420,"00084","EUCALYPTUS RD"
421,"00079","ROSS CIR"
422,"00055","ROSS CIR"
