OBJECTID,NAME,TYPE,ADDRESS,CITY/STATE
92,Bushrod Park,Park,560 59th St,"Oakland, CA"
93,Colby Park,Park,Colby St & 61st St,"Oakland, CA"
94,Grove Shafter Park 1,Park,36th St & Martin Luther King Jr Way,"Oakland, CA"
95,Grove Shafter Park 2,Park,36th St & Martin Luther King Jr Way,"Oakland, CA"
96,Grove Shafter Park 3,Park,36th St & Martin Luther King Jr Way,"Oakland, CA"
97,Driver Plaza,Park,6031 Genoa St,"Oakland, CA"
98,Hardy Park (Dog Park),Park,491 Hardy St,"Oakland, CA"
99,Helen McGregor Plaza,Park,5210 West St,"Oakland, CA"
100,Linden Park,Park,998 42nd St,"Oakland, CA"
101,Martin Luther King Jr Plaza (Dover Park),Park,5707 Dover St,"Oakland, CA"
102,FM Smith Park,Park,1969 Park Bl,"Oakland, CA"
103,Glen Echo Creek Park,Park,102 Monte Vista Av,"Oakland, CA"
104,Morcom Rose Garden,Park,700 Jean St,"Oakland, CA"
105,Mosswood Park,Park,3612 Webster St,"Oakland, CA"
106,Oak Park,Park,3239 Kempton Av,"Oakland, CA"
107,Park Blvd Plaza Park,Park,2100 Park Bl,"Oakland, CA"
108,Splash Pad Park,Park,Grand Ave & Lakepark,"Oakland, CA"
109,Allendale Park,Park,3711 Suter St,"Oakland, CA"
110,Ayala Mini Park,Park,5722 Ayala Ave,"Oakland, CA"
111,Bay Pointe Park,Park,8Th Street & Myrtle,"Oakland, CA"
112,88th Ave Mini Park,Park,1805 88th Av,"Oakland, CA"
113,Brookdale Park,Park,2535 High St,"Oakland, CA"
114,Chinese Garden Park,Park,7th St & Harrison St,"Oakland, CA"
115,Curt Flood Field,Park,3200 Coolidge Av,"Oakland, CA"
116,Dimond Canyon,Park,3860 Hanly Rd,"Oakland, CA"
117,Estuary Channel Park,Park,201 Embarcadero,"Oakland, CA"
118,Franklin Fountain,Park,Franklin St & Broadway,"Oakland, CA"
119,Gateway Gardens Park,Park,Tunnel Road & Caldecott Lane,"Oakland, CA"
120,Golden Gate Park,Park,1075 62nd St,"Oakland, CA"
121,Joaquin Miller Park,Park,3450 Joaquin Miller Rd,"Oakland, CA"
122,Knowland Park,Park,9777 Golf Links Rd,"Oakland, CA"
123,Lakeside Park,Park,400 Grand Av,"Oakland, CA"
124,Leona Heights,Park,4450 Mountain Blvd,"Oakland, CA"
125,Lincoln Square Park,Park,250 10th St,"Oakland, CA"
126,Madison Square Park,Park,810 Jackson St,"Oakland, CA"
127,Garber [John] Park,Park,8070 Claremont Av,"Oakland, CA"
128,Peralta Park,Park,2 10th St,"Oakland, CA"
129,Rainbow Park,Park,5800 International Blvd,"Oakland, CA"
130,Redwood Heights Park,Park,3883 Aliso Av,"Oakland, CA"
131,Richmond Blvd,Park,Richmond Blvd & 30th St,"Oakland, CA"
132,Santa Rita Land Trust,Park,Santa Rita & Ransome,"Oakland, CA"
133,Tassafaronga Park,Park,975 85th Av,"Oakland, CA"
134,66th Ave Overlook,Park,66th Ave & Oakport St,"Oakland, CA"
135,Caldecott Park,Park,6900 Broadway,"Oakland, CA"
136,Sheffield Village Park,Park,247 Marlow Dr,"Oakland, CA"
137,Tomas Melero-Smith Park,Park,1461 65th Av,"Oakland, CA"
138,Latham Square,Park,16th St & Telegraph Av,"Oakland, CA"
139,Lakeshore at Longridge Mini Park,Park,Lakeshore Av & Longridge Rd,"Oakland, CA"
140,Piedmont Plaza,Park,4182 Piedmont Ave,"Oakland, CA"
141,Courtland Creek,Park,Courtland Ave & Brookdale Ave,"Oakland, CA"
142,Lazear Mini Park,Park,2863 E 9th St,"Oakland, CA"
143,City Stables,Park,13560 Skyline Blvd,"Oakland, CA"
144,Grizzly Peak Open Space,Park,Grizzly Peak Rd & Marlborough Ter,"Oakland, CA"
145,Butters Land Trust,Park,3502 Butters Dr,"Oakland, CA"
146,Panoramic Hill,Park,Panoramic Way & Bancroft Pl,"Oakland, CA"
147,Castle Canyon,Park,Castle Dr & Castle Park Way,"Oakland, CA"
148,Redwood Creek Open Space,Park,5720 Balmoral Dr,"Oakland, CA"
149,Mandela Parkway,Park,1400 Mandela Pkwy,"Oakland, CA"
150,Shepherd Canyon Park,Park,,"Oakland, CA"
151,Beaconsfield Canyon,Park,Beaconsfield Pl & Keswick Ct,"Oakland, CA"
152,Marjorie Saunders Park,Park,5851 Ascot Dr,"Oakland, CA"
153,MacArthur Blvd Median,Park,MacArthur Blvd & Savannah Ct,"Oakland, CA"
154,98th Ave Median,Park,98th Ave & Elmview Dr,"Oakland, CA"
155,Hegenberger Median,Park,Hegenberger Onrp & 75 Ave,"Oakland, CA"
156,Bancroft Median,Park,Bancroft Ave & 86th Ave,"Oakland, CA"
157,Peralta Oaks Dr Median,Park,Peralta Oaks Dr & Peralta Oaks Ct,"Oakland, CA"
158,Golf Links Rd Median,Park,Golf Links Rd & Shetland Ave,"Oakland, CA"
159,International Median,Park,International Blvd & 97th Ave,"Oakland, CA"
160,73rd Ave Median,Park,73rd Ave & Fresno St,"Oakland, CA"
161,Foothill Blvd Median,Park,6960 Foothill Blvd,"Oakland, CA"
162,Intercity Rail Station,Park,601 73rd Ave,"Oakland, CA"
163,Doolittle Dr Median,Park,Doolittle Dr & Airport Access Rd,"Oakland, CA"
164,Courtland Ave Median,Park,Courtland Ave & High St,"Oakland, CA"
165,E 12th St Median,Park,E 12th St & 25th Ave,"Oakland, CA"
166,23rd Ave Median,Park,23rd Ave & E 10th St,"Oakland, CA"
167,29th Ave Median,Park,29th Ave & E 9th St,"Oakland, CA"
168,Seminary Ave Median,Park,Seminary Ave & Oakdale Ave,"Oakland, CA"
169,Dennison St Median,Park,Dennison St & Cotton St,"Oakland, CA"
170,Champion St & Lincoln Ave Median,Park,Champion St & Lincoln Ave,"Oakland, CA"
171,35th Ave Median,Park,35th Ave & California St,"Oakland, CA"
172,14th Ave Median,Park,14th Ave & E 22nd St,"Oakland, CA"
173,Lakeshore Ave Median,Park,Lakeshore Ave & E 15th St,"Oakland, CA"
174,W Grand Ave Median,Park,W Grand Ave & Valley St,"Oakland, CA"
175,14th St Median,Park,14th St & Linden St,"Oakland, CA"
176,Harrison St Median,Park,Harrison St & 21st St,"Oakland, CA"
177,Redwood Rd Below Hwy 13 Median,Park,Redwood Rd & Monterey Blvd,"Oakland, CA"
178,Redwood Rd Above Hwy 13 Median,Park,Redwood Rd & Terrabella Way,"Oakland, CA"
179,Chetwood St / Adams St Median,Park,Chetwood St & MacArthur Blvd,"Oakland, CA"
180,Glenview Median,Park,13th Ave & E 38th St,"Oakland, CA"
