address1,address2
BEAUMONT AVE,EXCELSIOR AVE
SAN PABLO AVE,35TH ST
HIGH ST,BOND ST
ALICE ST,13TH ST
WEBSTER,10TH ST
COLLEGE AVE,MILES AVE & OFF-RAMP
INTERNATIONAL BLVD,14TH  AVE
TELEGRAPH AVE,34TH ST
MADISON ST,19TH ST
7TH ST,CEDAR ST
SAN PABLO AVE,37TH ST
JACKSON ST,14TH ST
MARKET ST,8TH ST
GRAND AVE,MIDBLOCK SOUTH OF ELWOOD
SHAFTER AVE,40TH ST
MADISON ST,5TH ST
SAN LEANDRO ST,35TH AVE
TELEGRAPH AVE,W.GRAND AVE
HARRISON ST,9TH ST
98TH AVE,EDES AVE
BROADWAY,28TH ST
JACKSON ST,13TH ST
98TH AVE,D ST
98TH AVE,BIGGE ST
ALAMEDA AVE,K-MART DRWY
HEGENBERGER RD,OFFICE COMPLEX
INTERNATIONAL BLVD,29TH AVE
BROADWAY,BROADWAY TERRACE
ADELINE ST,10TH ST
SHATTUCK AVE,55TH ST
PLEASANT VALLEY,GILBERT
BAY PL,VERNON ST
MACARTHUR BLVD,GRAND AVE
WASHINGTON,10TH ST
BROADWAY,PLEASANT VALLEY/51ST ST
MACARTHUR BLVD,PARKER AVE
SAN LEANDRO ST,37TH AVE
INTERNATIONAL BLVD,27TH AVE
AIRPORT ACCESS RD,98TH AVE
BRUSH,11TH ST & CASTRO
BROADWAY,30TH ST
PERALTA,HOLLIS_32ND ST
PERALTA,12TH ST
JEFFERSON ST,8TH ST
OAK ST,14TH ST
E.18TH ST,5TH AVE
INTERNATIONAL BLVD,21ST AVE
SAN LEANDRO ST,73RD AVE
MARKET ST,33RD ST
MLK JR. WAY,47TH ST
GRAND AVE,PERKINS ST
52ND ST,CHILDRENS HOSPITAL DRWY
JEFFERSON ST,6TH ST
WEBSTER,21ST ST
RON COWAN PKWAY,JOHN GLENN DR
MACARTHUR BLVD,55TH AVE_CAMDEN ST
MARKET ST,26TH & 27TH ST
LAKESHORE AVE,BROOKLYN AVE
98TH AVE,PLYMOUTH ST
HEGENBERGER RD,DOOLITTLE & AIRPORT DR
FRUITVALE AVE,E.15TH ST
JACKSON ST,8TH ST
GRAND AVE,PARK VIEW TERR
REDWOOD RD,CRESTMONT DR
MLK JR. WAY,8TH ST
ADELINE ST,14TH ST
TELEGRAPH AVE,29TH ST
CASTRO,14TH ST
BROADWAY,KEITH
98TH AVE,BIRCH ST
BROADWAY,45TH ST/WHITMORE PL
REDWOOD RD,MOUNTAIN BLVD
35TH AVE,PENNIMAN AVE
BROADWAY,4OTH ST
MACARTHUR BLVD,LAKESHORE AVE
FOOTHILL BLVD,40TH AVE
TELEGRAPH AVE,17TH ST
FRUITVALE AVE,E.23RD  ST
CASTRO,18TH ST
FOOTHILL BLVD,8TH AVE
BRUSH,5TH ST
AIRPORT DR,AIR CARGO RD
GRAND AVE,HARRISON ST
