name,address
International Median,International Blvd & 97th Ave
73rd Ave Median,73rd Ave & Fresno St
Foothill Blvd Median,6960 Foothill Blvd
Intercity Rail Station,601 73rd Ave
Doolittle Dr Median,Doolittle Dr & Airport Access Rd
Courtland Ave Median,Courtland Ave & High St
E 12th St Median,E 12th St & 25th Ave
23rd Ave Median,23rd Ave & E 10th St
29th Ave Median,29th Ave & E 9th St
Seminary Ave Median,Seminary Ave & Oakdale Ave
Dennison St Median,Dennison St & Cotton St
Champion St & Lincoln Ave Median,Champion St & Lincoln Ave
35th Ave Median,35th Ave & California St
14th Ave Median,14th Ave & E 22nd St
Lakeshore Ave Median,Lakeshore Ave & E 15th St
W Grand Ave Median,W Grand Ave & Valley St
14th St Median,14th St & Linden St
Harrison St Median,Harrison St & 21st St
Redwood Rd Below Hwy 13 Median,Redwood Rd & Monterey Blvd
Redwood Rd Above Hwy 13 Median,Redwood Rd & Terrabella Way
Chetwood St / Adams St Median,Chetwood St & MacArthur Blvd
Glenview Median,13th Ave & E 38th St
Keller Ave Median,Keller Ave & Campus Dr
Fontaine Median,Fountaine St & Crest Ave
Elysian Fields Median,Elysian Fields Dr & Golf Links Rd
Joaquin Miller Rd Median,3850 Joaquin Miller Rd
High St Median,High St & Pampas Ave
Kennedy St Median,Kennedy St & Ford St
Fruitvale Ave Median,Fruitvale Ave & Montana St
Kingsland Ave Median,Kingsland Ave & Virginia Ave
Telegraph Ave Median,Telegraph Ave & 16th St
Mountain Blvd / Park Blvd Median,Mountain Blvd & Scout Rd
Golden Gate Ave & Cross Rd Median,Golden Gate Ave & Cross Rd
Haddon Rd / Prospect Ave Median,Haddon Rd & Prospect Av
Airport Access Median,Airport Access Rd & Hegenberger Rd
Baldwin St Median,650 Hegenberger Rd
42nd Ave Median,42nd Ave & Bond St
Storer Ave Median,Storer Ave & Camden St
E 18th St Median,E 18th St & 3rd Ave
12th St Dam Median,12th St & 1st Ave
880 Fwy / 98th Ave Streetscape,98th Ave & NB 98th Onrp Av
San Leandro St Median,San Leandro St & 69th Ave
International / Fruitvale Median,International Blvd & 34th Ave
Valdez St Median,Valdez St & 27th St
Aileen Median,Aileen St & Adeline St
Fontaine / Mountain Median,Mountain Blvd & Fontaine Overcrossing
Thermal St & 90th Ave Median,Thermal St & 90th Ave
Hamilton St Median,Hamilton St & Hegenberger Rd
Aloha Median,Athol Ave & Newton Ave
7th St Median,7th St & Linden St
Lake Park Ave Median,480 Lake Park Ave
Santa Clara Ave & Grand Ave Median,Santa Clara Ave & Grand Ave
Skyline & Stables Median,Skyline Blvd & Skyway Ln
MacArthur / Foothill Median,MacArthur Blvd & Foothill Blvd
38th Ave Median,38th Ave & Sutter St
Wesley Ave Median,Wesley Ave & Newton Ave
Lakeside Dr / 14th St Median,Lakeside Dr & 14th St
Skyline & Golf Links Rd Median,14998 Skyline Blvd
Calavaras Ave Median,Calavaras Ave & SB Mountain Offrp Bl
Skyline & Joaquin Miller Median,Skyline Blvd & Kimberlin Heights Dr
Mountain Blvd / Seminary Median,5721 Mountain Blvd
Redding St Median,Redding St & Kingsland Ave
Butters Dr Median,2797 Butters Dr
Glenwood Glade Median,Glenwood Glade & NB Broadway Offrp Tr
Trestle Glen Median,Trestle Glen Blvd & Lakeshore Ave
Martin Luther King Jr Way Median,Martin Luther King Jr Way & 58th St
Bayo Vista / Harrison Island,Bayo Vista Ave & Harrison St
Bayo Vista / Oakland Island,Bayo Vista Ave & Oakland Ave
5th Ave & E 8th St Island,500 E 8th St
7th St & Channel Park Median,E 7th St & 7th St
Beaumont Ave Island,Beaumont Ave & E 38th St
Capital St / Merritt Ave Island,Capital St & Merritt Ave
E 8th St Island,E 8th St & 10th Ave
Park Blvd Island,Park Blvd & Glenfield Ave
McKinley AVe / Kenwyn Rd Island,McKinley Ave & Kenwyn Rd
Market St (Lower) Median,Market St & 12th St
Center St / 12th St Island,12th St & Center St
Isabella St Island,Isabella St & West St
Burlington St Island,2482 Burlington St
40th St Island,40th St & Telegraph Ave
51st St Island,51st St & Shafter Ave
Market St Island,Market St & 60th St
Pleasant Valley Ave Median,Pleasant Vallley Ave & Moraga Ave
Miles Ave / College Ave Island,Miles Ave & College Ave
Bay Pl Island,Bay Pl & Montecito Ave
Moss Way & W MacArthur Median,Moss Way & Fairmount Ave
Ridgeway Ave & Gilbert St Median,Ridgeway Ave & Gilbert St
Ardsley Median,1042 E 33rd St
27th St Median,27th St & Harrison St
Broadway Median,Broadway & 28th St
Oakland Ave Median,Oakland Ave & 29th St
San Pablo Ave Median,San Pablo Ave & 35th St
10th-11th-12th St Median,839 12th St
12th St & West St Median,12th St & West St
40th St Way Median,249 40th St Way
5th St Median,5th St & NB Union Onrp St
8th St Streetscape,8th St & Chester St
Broadway Terrace Median,Broadway Terrace & SB Broadway Offrp Tr
Campus Dr Median,12706 Campus Dr
E 7th St Median,E 7th St & Kennedy St
Eastlake Streetscape,International Blvd & 7th Ave
Excelsior Ave & 13th Ave Median,Excelsior Ave & 13th Ave
Frontage Road Streetscape (along 880),Frontage Rd & 7th St
