OBJECTID,TYPE,STREET ADDRESS,CITY/STATE
107,Street Lights,5755 BALBOA DR,"Oakland, CA"
108,Street Lights,1966 ASILOMAR DR,"Oakland, CA"
109,Street Lights,6660 SARONI DR,"Oakland, CA"
110,Street Lights,6641 SARONI DR,"Oakland, CA"
111,Street Lights,6584 SARONI DR,"Oakland, CA"
112,Street Lights,6627 COLTON BLVD,"Oakland, CA"
113,Street Lights,6674 COLTON BLVD,"Oakland, CA"
114,Street Lights,5537 BALBOA DR,"Oakland, CA"
115,Street Lights,6300 SNAKE RD,"Oakland, CA"
116,Street Lights,6226 SNAKE RD,"Oakland, CA"
117,Street Lights,6350 SNAKE RD,"Oakland, CA"
118,Street Lights,6078 COLTON BLVD,"Oakland, CA"
119,Street Lights,6066 COLTON BLVD,"Oakland, CA"
120,Street Lights,5926 MAZUELA DR,"Oakland, CA"
121,Street Lights,5909 COLTON BLVD,"Oakland, CA"
122,Street Lights,5991 COLTON BLVD,"Oakland, CA"
123,Street Lights,5828 COLTON BLVD,"Oakland, CA"
124,Street Lights,5760 COLTON BLVD,"Oakland, CA"
125,Street Lights,5724 COLTON BLVD,"Oakland, CA"
126,Street Lights,5696 COLTON BLVD,"Oakland, CA"
127,Street Lights,1836 GASPAR DR,"Oakland, CA"
128,Street Lights,5630 CABOT DR,"Oakland, CA"
129,Street Lights,5620 COLTON BLVD,"Oakland, CA"
130,Street Lights,5701 COLTON BLVD,"Oakland, CA"
131,Street Lights,5708 COLTON BLVD,"Oakland, CA"
132,Street Lights,5748 COLTON BLVD,"Oakland, CA"
133,Street Lights,5820 COLTON BLVD,"Oakland, CA"
134,Street Lights,2 DIAZ PL,"Oakland, CA"
135,Street Lights,5911 COLTON BLVD,"Oakland, CA"
136,Street Lights,6001 COLTON BLVD,"Oakland, CA"
137,Street Lights,6049 COLTON BLVD,"Oakland, CA"
138,Street Lights,6601 COLTON BLVD,"Oakland, CA"
139,Street Lights,6675 COLTON BLVD,"Oakland, CA"
140,Street Lights,6682 COLTON BLVD,"Oakland, CA"
141,Street Lights,6571 SARONI DR,"Oakland, CA"
142,Street Lights,6615 SARONI DR,"Oakland, CA"
143,Street Lights,1942 ASILOMAR DR,"Oakland, CA"
144,Street Lights,1932 ASILOMAR DR,"Oakland, CA"
145,Street Lights,2056 ASILOMAR DR,"Oakland, CA"
146,Street Lights,2082 ASILOMAR DR,"Oakland, CA"
147,Street Lights,2098 ASILOMAR DR,"Oakland, CA"
148,Street Lights,5519 BALBOA DR,"Oakland, CA"
149,Street Lights,5631 BALBOA DR,"Oakland, CA"
150,Street Lights,5745 BALBOA DR,"Oakland, CA"
151,Street Lights,5827 BALBOA DR,"Oakland, CA"
152,Street Lights,18 CORTEZ CT,"Oakland, CA"
153,Street Lights,6050 ZINN DR,"Oakland, CA"
154,Street Lights,0 SHEPHERD CANYON RD,"Oakland, CA"
155,Street Lights,1991 GASPAR DR,"Oakland, CA"
156,Street Lights,6065 SNAKE RD,"Oakland, CA"
157,Street Lights,6020 SNAKE RD,"Oakland, CA"
158,Street Lights,1920 DRAKE DR,"Oakland, CA"
159,Street Lights,1910 DRAKE DR,"Oakland, CA"
160,Street Lights,5650 MAGELLAN DR,"Oakland, CA"
161,Street Lights,6952 GASPAR DR,"Oakland, CA"
162,Street Lights,1850 MAGELLAN DR,"Oakland, CA"
163,Street Lights,1887 MAGELLAN DR,"Oakland, CA"
164,Street Lights,1923 MAGELLAN DR,"Oakland, CA"
165,Street Lights,1937 MAGELLAN DR,"Oakland, CA"
166,Street Lights,5826 MENDOZA DR,"Oakland, CA"
167,Street Lights,1070 66TH ST,"Oakland, CA"
168,Street Lights,1084 66TH ST,"Oakland, CA"
169,Street Lights,1076 66TH ST,"Oakland, CA"
170,Street Lights,1060 66TH ST,"Oakland, CA"
171,Street Lights,6601 HELEN CT,"Oakland, CA"
172,Street Lights,6526 HERZOG ST,"Oakland, CA"
173,Street Lights,6620 HERZOG ST,"Oakland, CA"
174,Street Lights,1075 67TH ST,"Oakland, CA"
175,Street Lights,1081 67TH ST,"Oakland, CA"
176,Street Lights,1059 67TH ST,"Oakland, CA"
177,Street Lights,6600 HERZOG ST,"Oakland, CA"
178,Street Lights,6504 HERZOG ST,"Oakland, CA"
179,Street Lights,774 ALCATRAZ AV,"Oakland, CA"
180,Street Lights,760 ALCATRAZ AV,"Oakland, CA"
181,Street Lights,750 ALCATRAZ AV,"Oakland, CA"
182,Street Lights,742 ALCATRAZ AV,"Oakland, CA"
183,Street Lights,726 ALCATRAZ AV,"Oakland, CA"
184,Street Lights,706 ALCATRAZ AV,"Oakland, CA"
185,Street Lights,700 ALCATRAZ AV,"Oakland, CA"
186,Street Lights,676 ALCATRAZ AV,"Oakland, CA"
187,Street Lights,680 ALCATRAZ AV,"Oakland, CA"
188,Street Lights,664 ALCATRAZ AV,"Oakland, CA"
189,Street Lights,6341 SHATTUCK AV,"Oakland, CA"
190,Street Lights,678 65TH ST,"Oakland, CA"
191,Street Lights,646 65TH ST,"Oakland, CA"
192,Street Lights,706 65TH ST,"Oakland, CA"
193,Street Lights,712 65TH ST,"Oakland, CA"
194,Street Lights,732 65TH ST,"Oakland, CA"
195,Street Lights,792 65TH ST,"Oakland, CA"
196,Street Lights,664 FAIRVIEW ST,"Oakland, CA"
197,Street Lights,686 FAIRVIEW ST,"Oakland, CA"
198,Street Lights,6553 WHITNEY ST,"Oakland, CA"
199,Street Lights,6521 WHITNEY ST,"Oakland, CA"
200,Street Lights,6619 TREMONT ST,"Oakland, CA"
201,Street Lights,6547 TREMONT ST,"Oakland, CA"
202,Street Lights,6501 TREMONT ST,"Oakland, CA"
203,Street Lights,744 65TH ST,"Oakland, CA"
204,Street Lights,720 65TH ST,"Oakland, CA"
205,Street Lights,690 65TH ST,"Oakland, CA"
206,Street Lights,654 65TH ST,"Oakland, CA"
207,Street Lights,674 FAIRVIEW ST,"Oakland, CA"
208,Street Lights,688 FAIRVIEW ST,"Oakland, CA"
209,Street Lights,6603 WHITNEY ST,"Oakland, CA"
210,Street Lights,6539 WHITNEY ST,"Oakland, CA"
211,Street Lights,6501 WHITNEY ST,"Oakland, CA"
212,Street Lights,6523 TREMONT ST,"Oakland, CA"
213,Street Lights,6611 TREMONT ST,"Oakland, CA"
214,Street Lights,685 ALCATRAZ AV,"Oakland, CA"
215,Street Lights,6324 SHATTUCK AV,"Oakland, CA"
216,Street Lights,6400 SHATTUCK AV,"Oakland, CA"
217,Street Lights,6430 SHATTUCK AV,"Oakland, CA"
218,Street Lights,6500 SHATTUCK AV,"Oakland, CA"
219,Street Lights,6510 SHATTUCK AV,"Oakland, CA"
220,Street Lights,6550 SHATTUCK AV,"Oakland, CA"
221,Street Lights,6560 SHATTUCK AV,"Oakland, CA"
222,Street Lights,6562 SHATTUCK AV,"Oakland, CA"
223,Street Lights,539 66TH ST,"Oakland, CA"
224,Street Lights,667 66TH ST,"Oakland, CA"
225,Street Lights,691 66TH ST,"Oakland, CA"
226,Street Lights,6610 SHATTUCK AV,"Oakland, CA"
227,Street Lights,6532 DOVER ST,"Oakland, CA"
228,Street Lights,6552 DOVER ST,"Oakland, CA"
229,Street Lights,783 FAIRVIEW ST,"Oakland, CA"
230,Street Lights,6620 DOVER ST,"Oakland, CA"
231,Street Lights,651 66TH ST,"Oakland, CA"
232,Street Lights,683 66TH ST,"Oakland, CA"
233,Street Lights,453 66TH ST,"Oakland, CA"
234,Street Lights,467 66TH ST,"Oakland, CA"
235,Street Lights,499 66TH ST,"Oakland, CA"
236,Street Lights,629 66TH ST,"Oakland, CA"
237,Street Lights,650 ALCATRAZ AV,"Oakland, CA"
238,Street Lights,642 ALCATRAZ AV,"Oakland, CA"
239,Street Lights,618 ALCATRAZ AV,"Oakland, CA"
240,Street Lights,606 ALCATRAZ AV,"Oakland, CA"
241,Street Lights,602 ALCATRAZ AV,"Oakland, CA"
242,Street Lights,556 ALCATRAZ AV,"Oakland, CA"
243,Street Lights,540 ALCATRAZ AV,"Oakland, CA"
244,Street Lights,510 ALCATRAZ AV,"Oakland, CA"
245,Street Lights,500 ALCATRAZ AV,"Oakland, CA"
246,Street Lights,490 ALCATRAZ AV,"Oakland, CA"
247,Street Lights,472 ALCATRAZ AV,"Oakland, CA"
248,Street Lights,458 ALCATRAZ AV,"Oakland, CA"
249,Street Lights,438 ALCATRAZ AV,"Oakland, CA"
250,Street Lights,430 ALCATRAZ AV,"Oakland, CA"
251,Street Lights,420 ALCATRAZ AV,"Oakland, CA"
252,Street Lights,406 ALCATRAZ AV,"Oakland, CA"
253,Street Lights,400 ALCATRAZ AV,"Oakland, CA"
254,Street Lights,390 ALCATRAZ AV,"Oakland, CA"
255,Street Lights,378 ALCATRAZ AV,"Oakland, CA"
256,Street Lights,368 ALCATRAZ AV,"Oakland, CA"
257,Street Lights,356 ALCATRAZ AV,"Oakland, CA"
258,Street Lights,350 ALCATRAZ AV,"Oakland, CA"
259,Street Lights,344 ALCATRAZ AV,"Oakland, CA"
260,Street Lights,330 ALCATRAZ AV,"Oakland, CA"
261,Street Lights,6459 HILLEGASS AV,"Oakland, CA"
262,Street Lights,6451 HILLEGASS AV,"Oakland, CA"
263,Street Lights,6435 HILLEGASS AV,"Oakland, CA"
264,Street Lights,6425 HILLEGASS AV,"Oakland, CA"
265,Street Lights,6417 HILLEGASS AV,"Oakland, CA"
266,Street Lights,6411 HILLEGASS AV,"Oakland, CA"
267,Street Lights,6409 HILLEGASS AV,"Oakland, CA"
268,Street Lights,6475 COLBY ST,"Oakland, CA"
269,Street Lights,6447 COLBY ST,"Oakland, CA"
270,Street Lights,6439 COLBY ST,"Oakland, CA"
271,Street Lights,6429 COLBY ST,"Oakland, CA"
272,Street Lights,6423 COLBY ST,"Oakland, CA"
273,Street Lights,6417 COLBY ST,"Oakland, CA"
274,Street Lights,6413 COLBY ST,"Oakland, CA"
275,Street Lights,394 63RD ST,"Oakland, CA"
276,Street Lights,384 63RD ST,"Oakland, CA"
277,Street Lights,378 63RD ST,"Oakland, CA"
278,Street Lights,366 63RD ST,"Oakland, CA"
279,Street Lights,350 63RD ST,"Oakland, CA"
280,Street Lights,348 63RD ST,"Oakland, CA"
281,Street Lights,338 63RD ST,"Oakland, CA"
282,Street Lights,4798 GERANIUM PL,"Oakland, CA"
283,Street Lights,6435 RAYMOND ST,"Oakland, CA"
284,Street Lights,6501 RAYMOND ST,"Oakland, CA"
285,Street Lights,6511 RAYMOND ST,"Oakland, CA"
286,Street Lights,6521 RAYMOND ST,"Oakland, CA"
287,Street Lights,404 66TH ST,"Oakland, CA"
288,Street Lights,6515 WHEELER ST,"Oakland, CA"
289,Street Lights,638 FAIRVIEW ST,"Oakland, CA"
290,Street Lights,6333 TELEGRAPH AV,"Oakland, CA"
291,Street Lights,6355 TELEGRAPH AV,"Oakland, CA"
292,Street Lights,6399 TELEGRAPH AV,"Oakland, CA"
293,Street Lights,6419 TELEGRAPH AV,"Oakland, CA"
294,Street Lights,6511 TELEGRAPH AV,"Oakland, CA"
295,Street Lights,6543 TELEGRAPH AV,"Oakland, CA"
296,Street Lights,6633 TELEGRAPH AV,"Oakland, CA"
297,Street Lights,501 66TH ST,"Oakland, CA"
298,Street Lights,513 66TH ST,"Oakland, CA"
299,Street Lights,529 66TH ST,"Oakland, CA"
300,Street Lights,543 66TH ST,"Oakland, CA"
301,Street Lights,557 66TH ST,"Oakland, CA"
302,Street Lights,569 66TH ST,"Oakland, CA"
303,Street Lights,601 66TH ST,"Oakland, CA"
304,Street Lights,610 66TH ST,"Oakland, CA"
305,Street Lights,499 ALCATRAZ AV,"Oakland, CA"
306,Street Lights,6498 BENVENUE AV,"Oakland, CA"
307,Street Lights,6492 BENVENUE AV,"Oakland, CA"
308,Street Lights,6396 HILLEGASS AV,"Oakland, CA"
309,Street Lights,6380 HILLEGASS AV,"Oakland, CA"
310,Street Lights,6300 HILLEGASS AV,"Oakland, CA"
311,Street Lights,6226 HILLEGASS AV,"Oakland, CA"
312,Street Lights,6204 HILLEGASS AV,"Oakland, CA"
313,Street Lights,6334 COLBY ST,"Oakland, CA"
